Registration Number,1 January 2022,27 January 2022,PEUGEOT,May 2014,Year of manufacture,CO₂ emissions,Fuel type,
KS14 DYO,,,,,,,,
SA15 GCO,,,,,,,,
SW19 FVF,,,,,,,,
SC65 HZS,,,,,,,,
RR10 MAX,,,,,,,,
MD17 OTP,,,,,,,,
DO19 PLJ,,,,,,,,
SD15 DFZ,,,,,,,,
SB17 OBM,,,,,,,,
SW14 JZO,,,,,,,,
SC15 YCU,,,,,,,,
SC11 AOK,,,,,,,,
SE18 MXY,,,,,,,,
ST13 KEN,,,,,,,,
CV16 GFU,,,,,,,,
BKI61 AWG,,,,,,,,
PN67BKX,,,,,,,,
PO17 VLK,,,,,,,,
LN15 EJY,,,,,,,,
PK18DYC,,,,,,,,
VA14 NJV,,,,,,,,
MM67 UHT,,,,,,,,
Seat Ateca,,,,,,,,
SM11EPU,,,,,,,,
BK67MZG,,,,,,,,
R60NUS,,,,,,,,
NJ66TVX,,,,,,,,
C19JJW,,,,,,,,
LN67 JWD,,,,,,,,
BK14 FOT,,,,,,,,
PO14YCF,,,,,,,,
CK66 NHY,,,,,,,,
OY67 OGL,,,,,,,,
YG69 CWV,,,,,,,,
SW67 DZU,,,,,,,,
SW67 DZU (new),,,,,,,,
EF57 MXW,,,,,,,,
CL05 EYY,,,,,,,,
MT64EWL,,,,,,,,
MW63 NTO,,,,,,,,
DP68 NDF,,,,,,,,
DN69CHX,,,,,,,,
YG67 UGZ,,,,,,,,
KN54AOW,,,,,,,,
RJ62SUA,,,,,,,,
V88JHN,,,,,,,,
SV17 RZC,,,,,,,,
EA16WTN,,,,,,,,
LL18BJE,,,,,,,,
PE17 WUV,,,,,,,,
